trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,10,14.941004109638857,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,0,-44.01681763185061,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,15,6.718953788393005,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,9,0.035863804903589536,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,3,-74.38932383097183,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,13,14.413118821128673,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,0,24.387873736005496,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,13,-43.374636756314736,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,0,-70.69482301966403,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,5,22.856937432862473,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,19,11.485578054246174,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,19,21.764897806786443,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,11,17.137265747787183,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,14,11.601634567007402,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,11,16.125360634166906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,16,8.78257679326943,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",35,5,49.621103240641034,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,0,14.899752593012202,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,10,3.9556927149198655,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,8,9.947335032079849,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,11,-21.959287565161503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,0,-4.850321555459162,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",25,12,7.882717538788347,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
